version_from,version_to,tag_from,tag_to,module,fan_in_delta,fan_out_delta,cyclomatic_delta,centrality_delta
1,2,0.115.6,0.115.7,docs_src.additional_responses.tutorial001,0,0,0,2.283035524032733e-05
1,2,0.115.6,0.115.7,docs_src.additional_responses.tutorial002,0,0,0,2.283035524032733e-05
1,2,0.115.6,0.115.7,docs_src.additional_responses.tutorial003,0,0,0,2.283035524032733e-05
1,2,0.115.6,0.115.7,docs_src.additional_responses.tutorial004,0,0,0,2.283035524032733e-05
1,2,0.115.6,0.115.7,docs_src.additional_status_codes.tutorial001,0,0,0,2.283035524032733e-05
1,2,0.115.6,0.115.7,docs_src.additional_status_codes.tutorial001_an,0,0,0,2.283035524032733e-05
1,2,0.115.6,0.115.7,docs_src.additional_status_codes.tutorial001_an_py310,0,0,0,2.283035524032733e-05
1,2,0.115.6,0.115.7,docs_src.additional_status_codes.tutorial001_an_py39,0,0,0,2.283035524032733e-05
1,2,0.115.6,0.115.7,docs_src.additional_status_codes.tutorial001_py310,0,0,0,2.283035524032733e-05
1,2,0.115.6,0.115.7,docs_src.advanced_middleware.tutorial001,0,0,0,2.283035524032733e-05
1,2,0.115.6,0.115.7,docs_src.advanced_middleware.tutorial002,0,0,0,2.283035524032733e-05
1,2,0.115.6,0.115.7,docs_src.advanced_middleware.tutorial003,0,0,0,2.283035524032733e-05
1,2,0.115.6,0.115.7,docs_src.app_testing,0,0,0,0.0
1,2,0.115.6,0.115.7,docs_src.app_testing.app_b,0,0,0,0.0
1,2,0.115.6,0.115.7,docs_src.app_testing.app_b.main,0,0,0,2.283035524032733e-05
1,2,0.115.6,0.115.7,docs_src.app_testing.app_b.test_main,0,0,0,2.283035524032733e-05
1,2,0.115.6,0.115.7,docs_src.app_testing.app_b_an,0,0,0,0.0
1,2,0.115.6,0.115.7,docs_src.app_testing.app_b_an.main,0,0,0,2.283035524032733e-05
1,2,0.115.6,0.115.7,docs_src.app_testing.app_b_an.test_main,0,0,0,2.283035524032733e-05
1,2,0.115.6,0.115.7,docs_src.app_testing.app_b_an_py310,0,0,0,0.0
1,2,0.115.6,0.115.7,docs_src.app_testing.app_b_an_py310.main,0,0,0,2.283035524032733e-05
1,2,0.115.6,0.115.7,docs_src.app_testing.app_b_an_py310.test_main,0,0,0,2.283035524032733e-05
1,2,0.115.6,0.115.7,docs_src.app_testing.app_b_an_py39,0,0,0,0.0
1,2,0.115.6,0.115.7,docs_src.app_testing.app_b_an_py39.main,0,0,0,2.283035524032733e-05
1,2,0.115.6,0.115.7,docs_src.app_testing.app_b_an_py39.test_main,0,0,0,2.283035524032733e-05
1,2,0.115.6,0.115.7,docs_src.app_testing.app_b_py310,0,0,0,0.0
1,2,0.115.6,0.115.7,docs_src.app_testing.app_b_py310.main,0,0,0,2.283035524032733e-05
1,2,0.115.6,0.115.7,docs_src.app_testing.app_b_py310.test_main,0,0,0,2.283035524032733e-05
1,2,0.115.6,0.115.7,docs_src.app_testing.main,0,0,0,2.283035524032733e-05
1,2,0.115.6,0.115.7,docs_src.app_testing.test_main,0,0,0,2.283035524032733e-05
1,2,0.115.6,0.115.7,docs_src.app_testing.tutorial001,0,0,0,2.283035524032733e-05
